id1,id2,id3,text,f1,f2,f3,f4,f5,f6,f7,f8
7333199097078726225,955682083143508114,13025278659433870883,"Прислали поцарапанную насадку , грязную, сраренную не аккуратно! Ещё 100 рублей за отказ списали 🤬 Не советую покупать!",5,4,4.2,16,1,4.25,10,13
16399368618333561295,11045513651686387073,12155125135782450682,Всё в лучшем виде,1,1,5.0,426,39,4.809859154929577,3,14
6416049234325234128,10314236777029640365,9635992094241400914,"Очень классный! Лучше, чем ожидала",46,42,4.869565217391305,512,298,4.9375,62,84
13435225192388325787,12083732927943125766,3092192811766542002,Заказ пришёл быстро цвет ток не тот при использовании резина сильно пачками руку,5,5,3.8,130,53,4.269230769230769,17,18
12900463927143968103,11403627679983010788,5476108455197090699,Заказывал две фары пришла одна,1,1,1.0,14,0,3.2857142857142856,3,4
15797003132451581028,11844144371043153373,17396870417172193484,Буду покупать еще👌,27,26,4.777777777777778,1144,266,4.693181818181818,53,119
10735469325551462115,16174813220852916312,10023277565824975246,Товар соответствует описанию,19,19,5.0,116,39,4.698275862068965,20,25
17075449667599358053,17312677487485542503,4418384912070712745,"Пришел быстро, качество очень хорошее спину держит",2,2,5.0,1493,992,4.470194239785666,0,2
4329458658730971150,11804663313109805960,8223254633971568382,Всё отлично,4,4,5.0,10,3,5.0,4,7
202840795551626973,4886280845987950539,18197478674986892892,"Просто тряпка , сплошная синтетика , везде торчат нитки , швы не ровные обработаны криво , ткань тонкая ,осимерия нарушена краёв, продавец не добросовестный , смотрите , что продаёте  или сами это носите , ручкой испачкан товар видно , что кроили и делали метки ручкой - бред полный!",1,1,1.0,16,7,3.875,12,13
14450449676243212476,2747671135981857551,5244635574870148223,"Продавец просто обнаглел, второй раз присылает не тот размер и модель даже близко не похожа,и именно та коробка которая уже была не стой моделью, ещё и деньги сняли за возврат. Позор какой то.",1,1,1.0,24,3,3.9166666666666665,4,21
14018731363817103528,15033739489822361444,13628551103149940182,"Хороший товар. Но для большинства арок как на фото в отзывах надо брать сразу 2. Мы не рассчитали, поэтому получилось не совсем то, что задумывали. Будьте внимательны.",36,36,4.361111111111111,41,23,4.926829268292683,163,379
17958075692033499026,50529731643003034,2236633853138745187,Соответствие товара.,8,7,4.875,18,6,4.277777777777778,69,103
18172719841014348103,509292198982348599,9276397251840000441,"Шикарные штанишки но большие мне,перезаказала поменьше.",6,6,5.0,1426,116,4.615708274894811,22,35
17333543092347730356,12303380566448797209,17418064849829328083,Хорошая водолазка,20,17,4.8,1957,227,4.405212059274399,54,103
9269483659491994649,3019034827392054405,16469480842499997014,"Это просто чудо 🔥🔥🔥🙏🙏🙏 !!! Уважаемый продавец спасибо огромное за такую красотищу 😘😘😘!!! Весной взяла 1упаковку (4 веточки белые) , а сейчас взяла красные,  жёлтые 2уп., фиолетовые. Большие веточки, пушаться очень хорошо,  объем получается потрясающий 👍👍👍!!! Цветочков и листиков много 😍😍😍👏👏👏!!! Рекомендую всем.  В белой вазе 7 веточки, в зелёной 7 шт., в серой 5 шт. и одна ещё осталась 🤩🤩🤩",14,14,5.0,123,50,4.495934959349594,142,316
10587900849002714761,15581541722457802685,13828717211715767721,"Решётка пришла чуть кривая, качается как «качели», но не критично. Быстрая доставка.",16,16,4.3125,153,19,4.862745098039215,53,56
3544626141972972645,4936811875284457090,6836784353719029392,"Все хорошо, пришло в целости .",3,3,5.0,1518,455,4.642292490118577,0,3
4075436204595365715,4639311798747131931,14914627035881263463,"Интересная щётка, необычная, но судя по гладкой эмали, чистит хорошо",13,13,4.6923076923076925,77,5,4.441558441558442,87,93
7123390051360869839,3400352583684412716,10051018482719758320,"СХогласна с Валентиной!После применения данного крема у меня жуткая аллергия! Как не стыдно продавцу втюхивать испорченный товар?Хотя о чем это я?Буду делать возврат !Не вернут деньги,обращусь в прав органы.",17,16,2.7058823529411766,23,3,4.304347826086956,110,234
14954299193304112420,5719465921850910304,18003133089489520237,Доставлено вовремя спасибо,89,84,4.573033707865169,40,1,4.675,89,105
17686494180008315097,14913272404847667030,1366014220535055596,Размер не маломерит. Качество восторг,21,19,4.857142857142857,361,140,4.858725761772853,32,39
18126275315654839741,408444821053408704,6751630855670206633,"Каждый год весной эти малявки все портят. Народные средства вроде помогают, но не долго. Надеюсь препарат поможет. Потом скажу как оно",20,1,5.0,4,0,5.0,20,140
13133983332983867099,2097117953135007776,3234224562001499838,"Красивое, плотное покрывало, цвет соответствует заявленному.",72,67,4.513888888888889,8,2,4.875,93,127
5328743232361390305,7005754775454649944,566298475674721650,"Резкий неприятный запах, чистый спирт🤮🤮🤮🤮🤮🤮",1,1,1.0,147,63,4.680272108843537,1,3
17848717751469542830,1284705096485236792,16351792195234876872,за свою цену отличный вариант. рекомендую,1,1,5.0,15861,7673,4.394804867284535,29,55
17479319128756262558,6279545023998014830,6333958794702224250,первый раз такой ужас вижу ))) вся исцарапана гитара. вмятина. струны из рыболовной лески )))),1,1,1.0,141,63,3.879432624113475,0,1
4710361534682978330,13198473642442841208,879533051192768524,Ожидала большего! эффект достигается после выливания на себя 1/3 флакона (((,91,64,4.450549450549451,222,15,4.702702702702703,193,286
17997308669329396941,6880889221290521898,7717033396874352091,Кофта качество хорошее,22,22,5.0,437,181,4.540045766590389,25,61
18079166343955572065,13190549330942148377,8498155291066057894,"Давно пользуюсь этим средством, отличный товар.",4,4,5.0,225,35,4.377777777777778,10,10
7326968604148217348,12527323625936618560,15338938070969436934,Отличные плечики! За такую стоимость да 20 штук это просто находка.,11,11,3.909090909090909,852,117,4.564553990610329,35,42
5109971794157999065,2514364006374497501,14140801743414424951,"Спасибо производителю, ребенку все понравилось, спасибо.",35,34,4.942857142857143,13,2,4.846153846153846,9,31
10868481518424431774,12640111323197988445,2621394319350378355,Всё идеально наносить приятно,23,23,4.695652173913044,852,401,4.741784037558685,24,25
11041078834279357149,7954997857420414293,12155125135782450682,"Отличные джинсы. Качество на высоте. Для таких идеальных джинс и 5000 отдать не жалко! Спасибо продавцу, за такое серьезное отношение к своему продукту! Советую всем к покупке!!!",2,2,5.0,566,278,4.740282685512367,1,4
14957654697019841596,5008190028629477,14146204528586438587,"Товар очень качественный, рекомендую.",3,3,3.6666666666666665,1,0,5.0,9,17
3072432765800851160,13019765665221209391,13057272459692676590,"я в восторге от помады, цвет прекрасный и ложится очень хорошо. стойкость пока не проверяла, но первое впечатление - супер😍на фото 23 тон",3,3,5.0,744,220,4.693548387096774,110,147
14693900358893763178,9142916060826063233,9276397251840000441,Очень большемерят И не сказано что за возврат берут деньги.,4,4,1.25,7,0,4.285714285714286,3,4
6267857220669199105,17223553520878322949,12565856594426070431,"Доставка быстрая, значок, к слову хороший, тяжёлый, даже немного застаренный, чтобы выглядел натурально, качественная работа. Единственное, что лак немного потрескался, но мне кажется это издержки перевозки. Крепление хорошее, держит. Хорошее дополнение для коллекции.",43,33,4.976744186046512,9,7,4.888888888888889,136,152
3846561479148944449,10923866265960507899,9831565768016930896,"Ну ничего так, пойдёт, о стойкости речи конечно нет.",33,31,3.878787878787879,2164,664,4.359519408502773,43,66
14342857400255022969,7091011335817642619,9965754212117573252,Пришел не он а какое то мыло,2,2,3.0,5,1,3.2,7,8
